id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
572896	LA FOSCA BEACH, PALAMÓS COSTA BRAVA	2815011	Dalila		Palamós	41.86112	3.14355	Entire home/apt	146	5	15	2019-08-28	0.16	1	364
575718	Nice apartment at 50m near beach	2397413	Marc		L'Escala	42.11351	3.14096	Entire home/apt	49	3	130	2020-09-27	1.65	2	0
582785	Villalloret -vista mar, piscina privada,rural, Bbq	2870007	Isabel		Lloret de Mar	41.71273	2.85695	Entire home/apt	104	5	23	2020-10-24	0.49	1	221
592637	Figueres-Dali Double room, bathroom con parking	2910978	Isabel		Figueres	42.26675	2.96104	Private room	39	1	352	2020-09-13	6.46	2	80
592675	Figueres Dali Costa Brava Room-Bath	2910978	Isabel		Figueres	42.26651	2.96081	Private room	40	1	446	2020-09-09	4.45	2	80
597347	Cozy apartment with views, terrace & parking	2953511	Xavier David		Lloret de Mar	41.70483	2.87003	Entire home/apt	85	4	31	2019-08-30	0.35	1	361
607568	Sea views villa Costa Brava, Spain	1987558	Maria		Calonge	41.82776	3.07947	Entire home/apt	250	7	3	2020-08-29	0.10	1	365
615412	CASA-APARTAMENTO HORTA  I I	2005696	Nieves		Cadaqués	42.28967	3.27995	Entire home/apt	76	3	36	2020-09-13	0.48	5	365
616703	Nice cozy studio in Tossa de Mar	1298586	Kristjan Y Ana		Tossa de Mar	41.72696	2.92862	Entire home/apt	43	2	25	2019-10-18	0.39	115	71
621028	Masia Costa Brava. OFERTA EN JULIO -10%	3077756	Marcos		Santa Cristina d'Aro	41.81398	2.96018	Entire home/apt	614	2	0			1	358
621271	Can Cirera, rural house in Girona	3079320	Jaume		Serinyà	42.1715	2.74766	Entire home/apt	140	2	8	2020-02-23	0.09	1	362
628874	APARTMENT-LOFT PALAMOS. VERY CUTE!!	3124000	Cristina		Palamós	41.85021	3.12337	Entire home/apt	70	3	53	2019-09-05	0.54	1	364
